Path,CFP_Frequency,NON_CFP_Frequency,Discriminative_Power
email/body/conference/steering_committee_invitation/submission_details/requirements/location,0.0,0.015151515151515152,-0.015151515151515152
email/body/conferences,0.0,0.015151515151515152,-0.015151515151515152
email/content/body,0.0,0.015151515151515152,-0.015151515151515152
email/body/call_for_participation/application_details/submission_process/submission_url,0.0,0.015151515151515152,-0.015151515151515152
conference/important_dates/author_notification,0.029411764705882353,0.0,0.029411764705882353
email/conference/callforworkshops/importantdates/papersubmission,0.029411764705882353,0.0,0.029411764705882353
email/conference/organizingcommittee/shortpapersandposterschairs/affiliation,0.029411764705882353,0.0,0.029411764705882353
email/body/organization_committee/publication_chairs/name,0.029411764705882353,0.0,0.029411764705882353
email/body/organization/project_participation/url,0.0,0.015151515151515152,-0.015151515151515152
email/body/call_for_participation/organization/email,0.0,0.015151515151515152,-0.015151515151515152
conference/location/city,0.11764705882352941,0.015151515151515152,0.10249554367201426
email/conference/organizingcommittee/journalfirstchairs,0.029411764705882353,0.0,0.029411764705882353
email/content/registration/early_bird_deadline,0.0,0.015151515151515152,-0.015151515151515152
event/program/description,0.0,0.015151515151515152,-0.015151515151515152
email/body/technical_program/tracks/vision_and_poster_track,0.0,0.015151515151515152,-0.015151515151515152
conference/important_dates/camera_ready_submission,0.029411764705882353,0.0,0.029411764705882353
contact/sociallinks,0.029411764705882353,0.0,0.029411764705882353
email/conference/callfortutorials,0.029411764705882353,0.0,0.029411764705882353
email/body/prerequisite,0.0,0.015151515151515152,-0.015151515151515152
deadlines/workshop_paper_submission,0.029411764705882353,0.0,0.029411764705882353
job_posting/from/name,0.0,0.06060606060606061,-0.06060606060606061
job_posting/position/title,0.0,0.030303030303030304,-0.030303030303030304
email/conference/closing_remarks,0.0,0.015151515151515152,-0.015151515151515152
email/conference/organizingcommittee/financialchair/name,0.029411764705882353,0.0,0.029411764705882353
email/callforworkshops/description,0.0,0.015151515151515152,-0.015151515151515152
email/body/announcement/position_details/duration_and_salary,0.0,0.015151515151515152,-0.015151515151515152
